aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
 ,개포래미안포레스트,2020,개인, , ,"320,000",21,6,2026,중개거래,서울 강남구,84.86,20,1282,N, ,11680,개인,개포동
 ,강남데시앙파크,2011,개인, , ,"151,000",20,6,2026,중개거래,서울 강남구,84.95,6,525,N, ,11680,개인,세곡동
 ,개포주공6단지,1983,개인, , ,"320,000",20,6,2026,중개거래,서울 강남구,60.13,9,185,N, ,11680,개인,개포동
 ,아이파크,2004,개인, , ,"977,000",9,6,2026,중개거래,서울 강남구,195.388,5,87,N, ,11680,개인,삼성동
 ,대우아이빌명문가(891-23),2004,개인, , ,"26,000",9,6,2026,중개거래,서울 강남구,33.06,10,891-23,N, ,11680,개인,대치동
 ,은마,1979,개인, , ,"345,000",20,6,2026,중개거래,서울 강남구,76.79,13,316,N, ,11680,개인,대치동
 ,까치마을,1993,개인, , ,"201,500",19,6,2026,중개거래,서울 강남구,49.5,14,746,N, ,11680,개인,수서동
 ,도곡스타클래스,2007,개인, , ,"190,000",19,6,2026,중개거래,서울 강남구,112.75,16,957-11,N, ,11680,개인,도곡동
 ,강남자곡 힐스테이트,2015,개인, , ,"139,400",19,6,2026,중개거래,서울 강남구,51.96,5,619,N, ,11680,개인,자곡동
 ,청담자이,2011,개인, , ,"505,000",18,6,2026,중개거래,서울 강남구,89.115,34,134-38,N, ,11680,개인,청담동
 ,강남데시앙파크,2011,개인, , ,"152,000",19,6,2026,중개거래,서울 강남구,84.97,9,525,N, ,11680,개인,세곡동
 ,신동아(22),1997,개인, , ,"135,000",19,6,2026,중개거래,서울 강남구,35.73,4,22,N, ,11680,개인,논현동
 ,강남브리즈힐(토지임대부아파트),2014,개인, , ,"125,000",18,6,2026,중개거래,서울 강남구,74.04,14,618,Y, ,11680,개인,자곡동
 ,한양3,1978,개인, , ,"600,000",8,6,2026,중개거래,서울 강남구,116.94,10,489,N, ,11680,개인,압구정동
 ,청담자이,2011,개인, , ,"248,500",8,6,2026,중개거래,서울 강남구,49.639,3,134-38,N, ,11680,개인,청담동
 ,현대8차(성수현대:91~95동),1980,개인, , ,"700,000",17,6,2026,중개거래,서울 강남구,163.67,6,481,N, ,11680,개인,압구정동
 ,도곡렉슬,2006,개인, , ,"340,000",3,6,2026,중개거래,서울 강남구,84.9984,2,527,N, ,11680,개인,도곡동
 ,디에이치아너힐즈,2019,개인, , ,"348,000",6,6,2026,중개거래,서울 강남구,84.357,16,1281,N, ,11680,개인,개포동
 ,타워팰리스1,2002,개인, , ,"443,000",5,6,2026,중개거래,서울 강남구,137.24,10,467,N, ,11680,개인,도곡동
 ,래미안블레스티지,2019,개인, , ,"392,000",13,6,2026,중개거래,서울 강남구,99.967,23,1280,N, ,11680,개인,개포동
 ,래미안대치팰리스,2015,개인, , ,"445,000",16,6,2026,중개거래,서울 강남구,91.89,20,1027,N, ,11680,개인,대치동
1,BRUNNEN청담,2019,개인, , ,"520,000",12,6,2026,직거래, ,202.79,3,114-9,N,26.06.18,11680,개인,청담동
 ,한신(개포),1985,개인, , ,"364,000",17,6,2026,중개거래,서울 강남구,83.86,8,464,N, ,11680,개인,도곡동
 ,도곡렉슬,2006,개인, , ,"391,500",4,6,2026,중개거래,서울 강남구,114.9931,2,527,N, ,11680,개인,도곡동
 ,강남센트럴아이파크,2022,개인, , ,"430,000",4,6,2026,중개거래,서울 강남구,115.216,19,902,N, ,11680,개인,역삼동
 ,래미안라클래시,2021,개인, , ,"362,000",16,6,2026,중개거래,서울 강남구,71.95,23,189,N, ,11680,개인,삼성동
127,신현대11차,1983,개인, , ,"940,000",16,6,2026,중개거래,서울 강남구,183.41,4,433,N,26.06.19,11680,개인,압구정동
 ,강남자곡 힐스테이트,2015,개인,26.07.21,O,"140,000",12,6,2026,중개거래,"서울 강남구, 서울 서초구",51.96,12,619,N, ,11680,개인,자곡동
 ,삼성동롯데아파트,2000,개인,26.06.24,O,"235,000",4,6,2026,중개거래,서울 강남구,59.4,2,17,N, ,11680,개인,삼성동
 ,도곡렉슬,2006,개인, , ,"418,000",13,6,2026,중개거래,서울 강남구,119.8906,5,527,N, ,11680,개인,도곡동
